RANDOM ,PRODUCT ID,CUSTOMER ID,RETURN DATE,RETURN CONDITION,RETURN REASON,TRANSACTION ID,RETURN TYPE,CITY,SELLER ID,LABEL,ITEM SOLD OUT COUNT,ITEMS RETURN COUNT,ITEM TYPE,RETURN REQUEST,PRE VERIFICATION,CUSTOMER COMPLAINT
0.007529643,2349801,6812000,10-01-2023,Used,Defective item,10016,in-person,Mumbai,5678,Fraudulent,1,1,Clothing,Accepted,Completed,Getting wrong color and sizes
0.141441682,2347880,6710000,10-01-2023,Used,Missing item,10017,in-person,Mumbai,7141,Fraudulent,2,0,Clothing,Accepted,Completed,Satisfied
0.803798926,2351722,6713000,10-01-2023,Used,Missing item,10018,in-person,Mumbai,5679,Not Fraudulent,5,3,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.571384124,2344038,6716000,10-01-2023,Damaged,Defective item,10019,mail,Jaipur,4657,Not Fraudulent,6,4,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.144919437,2359406,6719000,11-01-2023,Used,Missing item,10020,mail,Bangalore,7141,Fraudulent,8,7,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.225212684,,6722000,11-01-2023,Used,Missing item,10021,in-person,Mumbai,5679,Fraudulent,1,0,Shoes and Footwear,Accepted,Completed,Satisfied
0.223357281,2390142,6722000,11-01-2023,Used,Missing item,10022,in-person,Mumbai,6981,Fraudulent,6,2,Shoes and Footwear,Accepted,Completed,Wrong items delivered
0.573056124,2267198,6722000,11-01-2023,Used,Missing item,10023,in-person,Mumbai,4657,Not Fraudulent,7,6,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.840816129,2513086,6722000,11-01-2023,Used,Missing item,10024,mail,Mumbai,5679,Not Fraudulent,3,1,Sports Fitness,Not Accepted,Not Completed,Getting wrong color and sizes
0.780868787,2021310,6722000,11-01-2023,Damaged,Missing item,10025,mail,Mumbai,6981,Not Fraudulent,2,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.241647082,3004862,6722000,11-01-2023,Used,Missing item,10026,mail,,4657,Fraudulent,1,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.082674131,3005678,6722000,11-01-2023,New,Missing item,10027,in-person,,6981,Fraudulent,6,2,Clothing,Accepted,Completed,Wrong items delivered
0.391069704,3006494,6743000,11-01-2023,Used,Missing item,10028,in-person,,4657,Fraudulent,9,7,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.8734849,3007310,6746000,11-01-2023,Damaged,Defective item,10029,in-person,Chennai,5678,Not Fraudulent,4,0,Sports Fitness,Not Accepted,Not Completed,Satisfied
0.02863232,3008126,6749000,12-01-2023,Damaged,Defective item,10030,mail,Jaipur,5679,Fraudulent,8,3,Clothing,Accepted,Completed,Wrong items delivered
0.806108644,3008942,6752000,12-01-2023,Used,Missing item,10031,in-person,Mumbai,4657,Not Fraudulent,9,2,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.768394163,3009758,6755000,12-01-2023,New,Incorrect item,10032,mail,Jaipur,1212,Not Fraudulent,7,5,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.23028156,3010574,6758000,12-01-2023,Used,Missing item,10033,mail,Jaipur,7141,Fraudulent,6,6,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.127449596,3011390,6761000,12-01-2023,Damaged,Defective item,10034,in-person,Mumbai,1212,Fraudulent,2,2,Clothing,Accepted,Completed,Wrong items delivered
0.235432059,3012206,6764000,12-01-2023,Used,Missing item,10035,in-person,Mumbai,1212,Fraudulent,10,5,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.995951439,3013022,6767000,12-01-2023,New,Incorrect item,10036,in-person,Mumbai,7141,Not Fraudulent,5,0,Sports Fitness,Not Accepted,Not Completed,Satisfied
0.579064003,3013838,6770000,12-01-2023,Damaged,Defective item,10037,mail,Jaipur,1212,Not Fraudulent,9,6,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.343314302,3014654,6773000,12-01-2023,Used,Defective item,10038,,Bangalore,4657,Fraudulent,6,0,Shoes and Footwear,Accepted,Completed,Satisfied
0.666760849,3015470,6776000,12-01-2023,Used,Defective item,10039,in-person,Chennai,7141,Not Fraudulent,6,6,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.231051414,3016286,6779000,12-01-2023,Used,Defective item,10040,mail,Bangalore,1212,Fraudulent,9,8,Shoes and Footwear,Accepted,Completed,Extremely poor quality products
0.45476994,3017102,6779000,13-01-2023,Used,Defective item,10041,in-person,Mumbai,5679,Not Fraudulent,5,2,Bags Wallet Luggage,Accepted,Completed,Wrong items delivered
0.301115397,3017918,6779000,13-01-2023,New,Incorrect item,10042,in-person,Chennai,7141,Fraudulent,8,3,Shoes and Footwear,Accepted,Completed,Wrong items delivered
0.313818651,3018734,6779000,13-01-2023,Used,Incorrect item,10043,in-person,Chennai,1212,Fraudulent,10,3,Shoes and Footwear,Accepted,Completed,Wrong items delivered
0.064982119,3019550,6779000,14-01-2023,Used,Incorrect item,10044,in-person,Chennai,1212,Fraudulent,6,0,Clothing,Accepted,Completed,Satisfied
0.126942663,3020366,6779000,14-01-2023,Used,Incorrect item,10045,in-person,Mumbai,6981,Fraudulent,1,1,Clothing,Accepted,Completed,Getting wrong color and sizes
0.471955149,3021182,6797000,15-01-2023,Used,Missing item,10046,in-person,Mumbai,1212,Not Fraudulent,1,1,Bags Wallet Luggage,Accepted,Completed,Getting wrong color and sizes
0.513677289,3021998,6800000,15-01-2023,New,Incorrect item,10047,in-person,Chennai,5678,Not Fraudulent,10,2,Bags Wallet Luggage,Not Accepted,Not Completed,Wrong items delivered
0.44437567,3022814,6803000,15-01-2023,Used,Missing item,10048,mail,Bangalore,1212,Fraudulent,7,6,Bags Wallet Luggage,Accepted,Completed,Always gets wrong item and poor quality products as well
0.20612097,3023630,6806000,15-01-2023,Damaged,Defective item,10049,in-person,Chennai,4657,Fraudulent,10,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.277022928,3024446,6809000,15-01-2023,New,Incorrect item,10050,in-person,Mumbai,7141,Fraudulent,1,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.755174625,3025262,6812000,15-01-2023,Damaged,Incorrect item,10051,in-person,Chennai,1212,Not Fraudulent,7,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.267089928,3026078,6815000,15-01-2023,Damaged,Defective item,10052,mail,Jaipur,3452,Fraudulent,3,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.561743358,3026894,6818000,15-01-2023,Used,Missing item,10053,in-person,Chennai,3452,Not Fraudulent,2,2,Bags Wallet Luggage,Not Accepted,Not Completed,Wrong items delivered
0.756099137,3027710,6821000,15-01-2023,Used,Missing item,10054,mail,Bangalore,3452,Not Fraudulent,8,3,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.186860002,3028526,6824000,15-01-2023,Used,Missing item,10055,mail,Jaipur,5679,Fraudulent,8,6,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.194434714,3029342,6827000,15-01-2023,Damaged,Defective item,10056,in-person,Mumbai,7141,Fraudulent,7,0,Clothing,Accepted,Completed,Satisfied
0.626441792,3030158,6830000,15-01-2023,Used,Missing item,10057,in-person,Mumbai,7141,Not Fraudulent,1,1,Electronic Gadgets,Not Accepted,Not Completed,Getting wrong color and sizes
0.605164064,3030974,6833000,15-01-2023,Damaged,Defective item,10058,mail,Bangalore,7141,Not Fraudulent,8,3,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.963054324,3031790,6836000,16-01-2023,New,Incorrect item,10059,mail,Bangalore,7141,Not Fraudulent,7,4,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.493360421,3032606,6839000,16-01-2023,Damaged,Defective item,10060,mail,Jaipur,7141,Not Fraudulent,2,2,Bags Wallet Luggage,Accepted,Completed,Wrong items delivered
0.256932318,3033422,6821000,16-01-2023,Damaged,Defective item,10061,in-person,Chennai,5679,Fraudulent,3,2,Shoes and Footwear,Accepted,Completed,Wrong items delivered
0.378996642,3034238,6845000,16-01-2023,Damaged,Defective item,10062,in-person,Chennai,5678,Fraudulent,8,3,Shoes and Footwear,Accepted,Completed,Wrong items delivered
0.54740107,3035054,6848000,16-01-2023,New,Incorrect item,10063,in-person,Chennai,3452,Not Fraudulent,2,1,Bags Wallet Luggage,Not Accepted,Not Completed,Getting wrong color and sizes
0.407130751,3035870,6851000,16-01-2023,Used,Incorrect item,10064,mail,Bangalore,3452,Fraudulent,1,0,Bags Wallet Luggage,Accepted,Completed,Satisfied
0.507016741,3036686,6845000,16-01-2023,Damaged,Incorrect item,10065,in-person,Chennai,3452,Not Fraudulent,9,6,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.177522321,3037502,6857000,16-01-2023,New,Incorrect item,10066,mail,Bangalore,3452,Fraudulent,4,4,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.563006057,3038318,6860000,17-01-2023,Damaged,Defective item,10067,in-person,Mumbai,3452,Not Fraudulent,9,0,Bags Wallet Luggage,Not Accepted,Not Completed,Satisfied
0.912962259,3039134,6845000,17-01-2023,Damaged,Defective item,10068,mail,Bangalore,3452,Not Fraudulent,1,1,Sports Fitness,Not Accepted,Not Completed,Getting wrong color and sizes
0.977000233,3039950,6866000,17-01-2023,Damaged,Defective item,10069,mail,Jaipur,1212,Not Fraudulent,4,2,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.759338839,3040766,6869000,17-01-2023,Used,Missing item,10070,mail,Jaipur,7141,Not Fraudulent,8,0,Electronic Gadgets,Not Accepted,Not Completed,Satisfied
0.249029422,3041582,6821000,17-01-2023,Damaged,Defective item,10071,mail,Jaipur,1212,Fraudulent,1,0,Shoes and Footwear,Accepted,Completed,Satisfied
0.131633089,3042398,6845000,17-01-2023,Used,Defective item,10072,in-person,Mumbai,5678,Fraudulent,10,5,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.796186419,3043214,6878000,17-01-2023,Used,Defective item,10073,in-person,Mumbai,5678,Not Fraudulent,10,8,Electronic Gadgets,Not Accepted,Not Completed,Extremely poor quality products
0.7130762,3044030,6881000,17-01-2023,Used,Defective item,10074,mail,Jaipur,5678,Not Fraudulent,8,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.596281641,3044846,6884000,17-01-2023,Damaged,Defective item,10075,mail,Bangalore,5678,Not Fraudulent,6,3,Bags Wallet Luggage,Not Accepted,Not Completed,Wrong items delivered
0.576732242,3045662,6845000,17-01-2023,Used,Missing item,10076,mail,Bangalore,5678,Not Fraudulent,8,5,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.850962298,3046478,6890000,17-01-2023,Damaged,Defective item,10077,mail,Bangalore,5678,Not Fraudulent,4,4,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.81281977,3047294,6893000,17-01-2023,Used,Missing item,10078,mail,Jaipur,1212,Not Fraudulent,7,4,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.223923347,3048110,6896000,17-01-2023,Damaged,Defective item,10079,mail,Jaipur,5678,Fraudulent,4,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.981082887,3048926,6899000,17-01-2023,Used,Missing item,10080,in-person,Mumbai,1212,Not Fraudulent,5,3,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.615865033,3049742,7100000,17-01-2023,Damaged,Defective item,10081,mail,Jaipur,5679,Not Fraudulent,3,0,Electronic Gadgets,Not Accepted,Not Completed,Satisfied
0.81518702,3050558,6905000,17-01-2023,New,Incorrect item,10082,mail,Bangalore,7141,Not Fraudulent,10,5,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.912248688,3051374,6908000,17-01-2023,Damaged,Defective item,10083,mail,Jaipur,1212,Not Fraudulent,1,1,Sports Fitness,Not Accepted,Not Completed,Getting wrong color and sizes
0.534577947,3052190,7100000,17-01-2023,Used,Missing item,10084,mail,Jaipur,5678,Not Fraudulent,10,2,Bags Wallet Luggage,Not Accepted,Not Completed,Wrong items delivered
0.410448746,3053006,6914000,17-01-2023,Used,Missing item,10085,mail,Bangalore,1212,Fraudulent,3,0,Bags Wallet Luggage,Accepted,Completed,Satisfied
0.339467618,3053822,6917000,17-01-2023,Used,Missing item,10086,in-person,Chennai,7141,Fraudulent,6,6,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.9111728,3054638,7100000,17-01-2023,New,Incorrect item,10087,in-person,Chennai,1212,Not Fraudulent,8,8,Sports Fitness,Not Accepted,Not Completed,Extremely poor quality products
0.871539251,3055454,6923000,18-01-2023,Damaged,Defective item,10088,mail,Jaipur,1212,Not Fraudulent,2,0,Sports Fitness,Not Accepted,Not Completed,Satisfied
0.840885727,3056270,6821000,18-01-2023,Used,Missing item,10089,mail,Jaipur,3452,Not Fraudulent,1,1,Sports Fitness,Not Accepted,Not Completed,Getting wrong color and sizes
0.050252607,3057086,6929000,18-01-2023,Used,Missing item,10090,mail,Jaipur,1212,Fraudulent,9,6,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.863459104,3057902,7100000,18-01-2023,Used,Missing item,10091,in-person,Mumbai,3452,Not Fraudulent,8,4,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.243443112,3058718,6935000,18-01-2023,Damaged,Defective item,10092,mail,Jaipur,1212,Fraudulent,5,5,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.108831824,3059534,6938000,18-01-2023,Used,Incorrect item,10093,in-person,Mumbai,1212,Fraudulent,5,0,Clothing,Accepted,Completed,Satisfied
0.842890672,3060350,7100000,18-01-2023,Used,Incorrect item,10094,in-person,Mumbai,7141,Not Fraudulent,2,2,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.83107912,3061166,6821000,18-01-2023,Used,Incorrect item,10095,mail,Jaipur,1212,Not Fraudulent,10,7,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.068600603,3061982,6947000,18-01-2023,New,Incorrect item,10096,mail,Jaipur,3452,Fraudulent,8,1,Clothing,Accepted,Completed,Getting wrong color and sizes
0.320935682,3062798,6950000,18-01-2023,Used,Missing item,10097,in-person,Mumbai,5679,Fraudulent,10,6,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.092997163,3063614,6953000,18-01-2023,New,Incorrect item,10098,in-person,Chennai,1212,Fraudulent,7,4,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.558419675,3064430,6956000,18-01-2023,Used,Missing item,10099,in-person,Mumbai,3452,Not Fraudulent,4,0,Bags Wallet Luggage,Not Accepted,Not Completed,Satisfied
0.707760977,3065246,6959000,18-01-2023,New,Incorrect item,10100,mail,Bangalore,1212,Not Fraudulent,3,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.782489878,3066062,6962000,19-01-2023,Damaged,Defective item,10101,mail,Bangalore,1212,Not Fraudulent,4,1,Electronic Gadgets,Not Accepted,Not Completed,Getting wrong color and sizes
0.652344041,3066878,6845000,19-01-2023,New,Incorrect item,10102,mail,Jaipur,1212,Not Fraudulent,4,3,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.068661596,3067694,6968000,19-01-2023,Used,Missing item,10103,mail,Bangalore,3452,Fraudulent,7,7,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.113783722,3068510,6971000,19-01-2023,Used,Missing item,10104,in-person,Mumbai,1212,Fraudulent,9,4,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.564086656,3069326,6821000,19-01-2023,New,Incorrect item,10105,in-person,Mumbai,1212,Not Fraudulent,4,3,Bags Wallet Luggage,Not Accepted,Not Completed,Wrong items delivered
0.547828286,3070142,6977000,19-01-2023,Damaged,Defective item,10106,mail,Bangalore,7141,Not Fraudulent,2,0,Bags Wallet Luggage,Not Accepted,Not Completed,Satisfied
0.935913115,3070958,6980000,19-01-2023,Used,Defective item,10107,mail,Bangalore,4657,Not Fraudulent,2,0,Sports Fitness,Not Accepted,Not Completed,Satisfied
0.362344563,3071774,7100000,19-01-2023,Used,Defective item,10108,mail,Jaipur,4657,Fraudulent,3,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.418905897,3072590,6986000,19-01-2023,Used,Missing item,10109,in-person,Chennai,4657,Fraudulent,6,3,Bags Wallet Luggage,Accepted,Completed,Wrong items delivered
0.221178906,3073406,6989000,19-01-2023,Used,Missing item,10110,in-person,Chennai,5678,Fraudulent,7,6,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.362658998,3074222,6992000,20-01-2023,Used,Missing item,10111,in-person,Mumbai,1212,Fraudulent,10,9,Shoes and Footwear,Accepted,Completed,Extremely poor quality products
0.294836018,3075038,7100000,20-01-2023,Damaged,Defective item,10112,in-person,Chennai,5679,Fraudulent,5,2,Shoes and Footwear,Accepted,Completed,Wrong items delivered
0.893527809,3075854,6998000,20-01-2023,New,Defective item,10113,in-person,Chennai,1212,Not Fraudulent,4,1,Sports Fitness,Not Accepted,Not Completed,Getting wrong color and sizes
0.690868811,3076670,7001000,20-01-2023,Used,Defective item,10114,mail,Jaipur,7141,Not Fraudulent,9,9,Electronic Gadgets,Not Accepted,Not Completed,Extremely poor quality products
0.453061513,3077486,7004000,20-01-2023,New,Defective item,10115,mail,Bangalore,1212,Not Fraudulent,1,0,Bags Wallet Luggage,Accepted,Completed,Satisfied
0.743325067,3078302,6821000,20-01-2023,Used,Missing item,10116,in-person,Chennai,1212,Not Fraudulent,9,3,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.671955742,3079118,7010000,20-01-2023,New,Incorrect item,10117,mail,Bangalore,5678,Not Fraudulent,10,5,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.894821425,3079934,7013000,20-01-2023,Used,Missing item,10118,mail,Bangalore,1212,Not Fraudulent,5,5,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.192664216,3080750,6821000,20-01-2023,Damaged,Defective item,10119,mail,Jaipur,1212,Fraudulent,8,2,Clothing,Accepted,Completed,Wrong items delivered
0.101475814,3081566,7019000,20-01-2023,Used,Missing item,10120,in-person,Mumbai,3452,Fraudulent,4,1,Clothing,Accepted,Completed,Getting wrong color and sizes
0.48723589,3082382,7022000,20-01-2023,Used,Missing item,10121,in-person,Mumbai,1212,Not Fraudulent,10,3,Bags Wallet Luggage,Accepted,Completed,Wrong items delivered
0.168244186,3083198,6845000,20-01-2023,Used,Missing item,10122,in-person,Chennai,1212,Fraudulent,8,4,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.618715438,3084014,7028000,21-01-2023,Used,Missing item,10123,in-person,Mumbai,3452,Not Fraudulent,8,4,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.114773828,3084830,7031000,21-01-2023,New,Incorrect item,10124,mail,Bangalore,1212,Fraudulent,10,1,Clothing,Accepted,Completed,Getting wrong color and sizes
0.198402273,3085646,7034000,21-01-2023,Used,Incorrect item,10125,in-person,Mumbai,6981,Fraudulent,2,1,Clothing,Accepted,Completed,Getting wrong color and sizes
0.797544731,3086462,7037000,21-01-2023,Used,Incorrect item,10126,in-person,Mumbai,5679,Not Fraudulent,1,0,Electronic Gadgets,Not Accepted,Not Completed,Satisfied
0.938050054,3087278,7040000,21-01-2023,Damaged,Defective item,10127,mail,Jaipur,1212,Not Fraudulent,7,2,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.220226293,3088094,7043000,21-01-2023,Used,Missing item,10128,mail,Jaipur,1212,Fraudulent,2,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.27939837,3088910,7046000,21-01-2023,New,Incorrect item,10129,in-person,Mumbai,3452,Fraudulent,10,8,Shoes and Footwear,Accepted,Completed,Extremely poor quality products
0.227708964,3089726,7049000,21-01-2023,Used,Missing item,10130,in-person,Chennai,1212,Fraudulent,1,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.502047603,3090542,7052000,21-01-2023,Used,Missing item,10131,in-person,Mumbai,1212,Not Fraudulent,7,5,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.269324307,3091358,6845000,21-01-2023,Damaged,Defective item,10132,mail,Bangalore,5678,Fraudulent,9,6,Shoes and Footwear,Accepted,Completed,Always gets wrong item and poor quality products as well
0.448244669,3092174,7058000,21-01-2023,Used,Missing item,10133,in-person,Chennai,1212,Fraudulent,9,3,Bags Wallet Luggage,Accepted,Completed,Wrong items delivered
0.850373215,3092990,7061000,21-01-2023,Used,Missing item,10134,in-person,Chennai,7141,Not Fraudulent,9,7,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.821221354,3093806,7064000,22-01-2023,New,Incorrect item,10135,mail,Jaipur,1212,Not Fraudulent,9,3,Sports Fitness,Not Accepted,Not Completed,Wrong items delivered
0.018188674,3094622,7067000,22-01-2023,Damaged,Defective item,10136,mail,Jaipur,1212,Fraudulent,4,4,Clothing,Accepted,Completed,Always gets wrong item and poor quality products as well
0.714698596,3095438,6845000,22-01-2023,Used,Missing item,10137,in-person,Mumbai,3452,Not Fraudulent,10,4,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.44029287,3096254,7073000,22-01-2023,New,Incorrect item,10138,mail,Bangalore,5679,Fraudulent,9,0,Bags Wallet Luggage,Accepted,Completed,Satisfied
0.054129125,3097070,7076000,22-01-2023,Used,Missing item,10139,in-person,Chennai,1212,Fraudulent,7,3,Clothing,Accepted,Completed,Wrong items delivered
0.46281658,3097886,7079000,22-01-2023,Damaged,Defective item,10140,in-person,Mumbai,3452,Not Fraudulent,6,4,Bags Wallet Luggage,Accepted,Completed,Always gets wrong item and poor quality products as well
0.291992757,3098702,7082000,22-01-2023,New,Incorrect item,10141,in-person,Chennai,1212,Fraudulent,3,1,Shoes and Footwear,Accepted,Completed,Getting wrong color and sizes
0.646189958,3099518,6821000,22-01-2023,Used,Defective item,10142,in-person,Chennai,4657,Not Fraudulent,6,2,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.422245466,3100334,7088000,22-01-2023,Damaged,Defective item,10143,mail,Bangalore,1212,Fraudulent,10,4,Bags Wallet Luggage,Accepted,Completed,Always gets wrong item and poor quality products as well
0.577863509,3101150,7091000,22-01-2023,New,Incorrect item,10144,in-person,Chennai,7141,Not Fraudulent,10,6,Bags Wallet Luggage,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.799906763,3101966,6821000,22-01-2023,New,Incorrect item,10145,mail,Bangalore,1212,Not Fraudulent,8,3,Electronic Gadgets,Not Accepted,Not Completed,Wrong items delivered
0.862973359,3102782,7097000,22-01-2023,Used,Incorrect item,10146,mail,Jaipur,4657,Not Fraudulent,6,1,Sports Fitness,Not Accepted,Not Completed,Getting wrong color and sizes
0.170969064,3103598,7100000,23-01-2023,Used,Incorrect item,10147,mail,Jaipur,1212,Fraudulent,10,9,Clothing,Accepted,Completed,Extremely poor quality products
0.813504711,3104414,7103000,23-01-2023,Damaged,Defective item,10148,in-person,Mumbai,1212,Not Fraudulent,6,6,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.91201825,3105230,7106000,23-01-2023,Used,Missing item,10149,mail,Jaipur,5679,Not Fraudulent,5,5,Sports Fitness,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.197756075,3106046,7109000,23-01-2023,New,Incorrect item,10150,mail,Jaipur,1212,Fraudulent,9,8,Clothing,Accepted,Completed,Extremely poor quality products
0.693630631,3106862,7112000,23-01-2023,Damaged,Defective item,10151,in-person,Mumbai,6981,Not Fraudulent,10,4,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
0.43897616,3107678,7115000,23-01-2023,New,Incorrect item,10152,mail,Bangalore,3452,Fraudulent,8,8,Bags Wallet Luggage,Accepted,Completed,Extremely poor quality products
0.640901114,3108494,7118000,23-01-2023,New,Incorrect item,10153,in-person,Chennai,1212,Not Fraudulent,7,7,Electronic Gadgets,Not Accepted,Not Completed,Always gets wrong item and poor quality products as well
